"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 21:33:22 GMT 2022","Fri Jun 03 21:33:22 GMT 2022","356","","Testing with mailboxlayer.com","","Testing with mailboxlayer.com","Is a role email?","Is a role email?",""
"passed","Fri Jun 03 21:33:22 GMT 2022","Fri Jun 03 21:33:22 GMT 2022","276","","Testing with mailboxlayer.com","","Testing with mailboxlayer.com","Check that format is correct","Check that format is correct",""
"passed","Fri Jun 03 21:33:22 GMT 2022","Fri Jun 03 21:33:22 GMT 2022","37","","Testing with mailboxlayer.com","","Testing with mailboxlayer.com","Check if api key is missed","Check if api key is missed",""
"passed","Fri Jun 03 21:33:21 GMT 2022","Fri Jun 03 21:33:22 GMT 2022","287","","Testing with mailboxlayer.com","","Testing with mailboxlayer.com","Check that email is not disposable","Check that email is not disposable",""
